start_index,end_index,type
64,70,Q
73,79,R
81,84,S
357,363,Q
366,372,R
377,381,S
651,656,Q
660,665,R
667,670,S
934,940,Q
945,948,R
952,954,S
1221,1224,Q
1230,1232,R
1236,1238,S
1504,1508,Q
1514,1516,R
1520,1522,S
1794,1803,Q
1807,1811,R
1814,1818,S
2029,2038,Q
2042,2046,R
2048,2054,S
2388,2396,Q
2401,2405,R
2410,2414,S
2692,2699,Q
2702,2707,R
2711,2713,S
2982,2991,Q
2995,2999,R
3003,3006,S
3269,3277,Q
3281,3284,R
3288,3291,S
3549,3554,Q
3558,3562,R
3565,3568,S
3850,3856,Q
3860,3864,R
3868,3870,S
4157,4163,Q
4169,4173,R
4176,4182,S
4452,4459,Q
4464,4467,R
4471,4475,S
4753,4758,Q
4762,4766,R
4771,4776,S
5048,5053,Q
5059,5062,R
5066,5075,S
5333,5340,Q
5344,5348,R
5351,5359,S
5621,5623,Q
5632,5636,R
5640,5643,S
5906,5912,Q
5916,5920,R
5924,5926,S
6200,6208,Q
6212,6217,R
6220,6226,S
6514,6520,Q
6525,6529,R
6532,6538,S
6812,6816,Q
6822,6825,R
6829,6831,S
7094,7098,Q
7103,7107,R
7110,7114,S
7378,7382,Q
7389,7394,R
7398,7402,S
7657,7662,Q
7668,7671,R
7675,7678,S
7952,7954,R
7958,7960,S
7943,7945,Q
8234,8235,Q
8245,8247,R
8251,8253,S
8524,8532,Q
8537,8542,R
8544,8546,S
8825,8831,Q
8836,8838,R
8843,8845,S
9131,9133,Q
9141,9143,R
9148,9150,S
9420,9423,Q
9430,9433,R
9438,9440,S
9700,9703,Q
9709,9712,R
9715,9717,S
9988,9989,Q
9997,9999,R
10003,10006,S
10272,10275,Q
10281,10284,R
10288,10290,S
10579,10582,Q
10589,10592,R
10596,10598,S
10882,10886,Q
10892,10896,R
10901,10904,S
11180,11186,Q
11190,11192,R
11195,11200,S
11469,11472,Q
11479,11481,R
11485,11490,S
11769,11772,Q
11779,11782,R
11787,11789,S
12055,12059,Q
12065,12067,R
12070,12073,S
12336,12339,Q
12347,12352,R
12357,12358,S
12633,12637,Q
12643,12645,R
12649,12653,S
