start_index,end_index,type
355,362,Q
376,383,S
363,378,R
651,657,Q
658,665,R
667,670,S
74,80,R
64,71,Q
82,85,S
942,949,R
931,938,Q
952,955,S
1226,1235,R
1235,1240,S
1217,1226,Q
1512,1517,R
1520,1524,S
1501,1509,Q
1805,1812,R
1815,1819,S
1792,1802,Q
2029,2037,Q
2040,2048,R
2049,2053,S
2388,2395,Q
2397,2406,R
2409,2414,S
2691,2699,Q
2703,2709,R
2712,2716,S
2984,2992,Q
2994,2999,R
3001,3006,S
3269,3275,Q
3278,3287,R
3289,3290,S
3543,3551,Q
3553,3566,R
3567,3571,S
3850,3857,Q
3859,3866,R
3868,3872,S
4153,4162,Q
4165,4175,R
4175,4177,S
5054,5062,R
5065,5069,S
5042,5053,Q
4450,4459,Q
4462,4469,R
4471,4474,S
4760,4768,R
4771,4775,S
4749,4758,Q
5344,5351,R
5328,5341,Q
5353,5355,S
5628,5637,R
5611,5625,Q
5639,5648,S
5911,5921,R
5899,5912,Q
5923,5928,S
6211,6218,R
6201,6207,Q
6221,6225,S
