start_index,end_index,type
30764,30773,Q
30776,30782,R
30785,30788,S
31055,31057,Q
31064,31066,R
31069,31072,S
32212,32215,Q
32224,32225,R
32231,32232,S
31915,31918,Q
31927,31929,R
31934,31936,S
31336,31342,Q
31348,31349,R
31354,31355,S
31624,31626,Q
32826,32827,Q
32836,32837,R
32843,32844,S
32518,32519,Q
32529,32531,R
32537,32538,S
34262,34267,Q
34272,34275,R
34280,34284,S
33677,33682,Q
33688,33693,R
33697,33698,S
33392,33397,Q
33403,33404,R
33408,33412,S
33112,33119,Q
33125,33129,R
33133,33136,S
36588,36597,Q
36604,36607,R
36610,36616,S
37200,37209,Q
37214,37216,R
37219,37224,S
37772,37774,Q
37782,37784,R
37788,37791,S
38055,38064,Q
38069,38073,R
38076,38083,S
38343,38349,Q
38355,38357,R
38362,38364,S
38936,38945,Q
38949,38952,R
38956,38959,S
39235,39244,Q
39251,39254,R
39258,39259,S
39809,39818,Q
39825,39827,R
39831,39832,S
40083,40090,Q
40095,40097,R
40101,40106,S
40367,40376,Q
40382,40383,R
40388,40390,S
40957,40962,Q
40969,40971,R
40976,40978,S
41557,41559,Q
41566,41567,R
41572,41574,S
41840,41842,Q
41849,41850,R
41855,41858,S
42104,42110,Q
42116,42118,R
42122,42125,S
42980,42991,Q
42995,42997,R
43003,43008,S
51325,51330,Q
51337,51341,R
51346,51348,S
51614,51618,Q
51626,51628,R
51632,51635,S
52204,52207,Q
52214,52217,R
52221,52223,S
52496,52498,Q
52505,52507,R
52510,52513,S
52774,52776,Q
52783,52785,R
52789,52791,S
53050,53056,Q
53060,53065,R
53068,53069,S
53326,53333,Q
53341,53342,R
53346,53347,S
