start_index,end_index,type
71,77,Q
81,86,R
90,103,S
383,391,Q
395,398,R
403,414,S
701,705,Q
708,712,R
717,729,S
1021,1027,Q
1030,1033,R
1038,1055,S
1356,1362,Q
1366,1369,R
1373,1389,S
1700,1704,Q
1709,1714,R
1716,1723,S
2027,2029,Q
2034,2038,R
2040,2053,S
2338,2342,Q
2347,2350,R
2355,2365,S
2650,2656,Q
2660,2663,R
2668,2689,S
2960,2965,Q
2970,2973,R
2977,2994,S
3288,3295,Q
3299,3303,R
3307,3319,S
3619,3623,Q
3627,3632,R
3635,3648,S
3948,3953,Q
3958,3961,R
3965,3981,S
4271,4277,Q
4281,4285,R
4289,4300,S
4598,4603,Q
4607,4611,R
4614,4629,S
4919,4922,Q
4926,4931,R
4932,4949,S
5229,5233,Q
5238,5242,R
5245,5261,S
5557,5561,Q
5566,5569,R
5574,5594,S
5885,5891,Q
5895,5899,R
5903,5916,S
6213,6217,Q
6221,6224,R
6228,6247,S
6518,6521,Q
6524,6529,R
6533,6547,S
6818,6824,Q
6827,6831,R
6836,6848,S
7132,7136,Q
7141,7144,R
7148,7161,S
7450,7456,Q
7461,7463,R
7467,7478,S
7774,7777,Q
7784,7788,R
7791,7808,S
8094,8099,Q
8102,8107,R
8109,8123,S
8402,8407,Q
8412,8416,R
8418,8432,S
8710,8715,Q
8719,8722,R
8727,8737,S
9012,9019,Q
9023,9026,R
9030,9042,S
9310,9315,Q
9318,9321,R
9327,9340,S
9618,9622,Q
9626,9629,R
9634,9646,S
9943,9946,Q
9950,9955,R
9959,9969,S
10268,10274,Q
10279,10282,R
10287,10299,S
10579,10583,Q
10588,10591,R
10594,10604,S
10881,10885,Q
10890,10893,R
10896,10902,S
11173,11179,Q
11183,11186,R
11189,11197,S
11460,11463,Q
11468,11471,R
11475,11478,S
11749,11752,Q
11758,11761,R
11766,11768,S
12038,12041,Q
12048,12050,R
12054,12061,S
12326,12330,Q
12335,12339,R
12343,12352,S
12609,12614,Q
12619,12622,R
12626,12637,S
12902,12904,Q
12909,12912,R
12916,12926,S
13171,13178,Q
13182,13184,R
13189,13198,S
13444,13452,Q
13455,13458,R
13462,13472,S
13730,13733,Q
13736,13741,R
13745,13753,S
14019,14023,Q
14027,14030,R
14037,14050,S
