start_index,end_index,type
71,77,Q
78,86,R
392,400,R
700,705,Q
706,716,R
1027,1036,R
1364,1372,R
1708,1715,R
2032,2039,R
2338,2342,Q
2345,2353,R
2659,2665,R
2962,2965,Q
2968,2975,R
3290,3293,Q
3297,3304,R
3618,3623,Q
3627,3634,R
3947,3954,Q
3956,3964,R
4270,4276,Q
4278,4288,R
4598,4603,Q
4606,4612,R
4613,4615,S
4918,4922,Q
4925,4931,R
4933,4935,S
5228,5234,Q
5237,5244,R
5245,5247,S
5554,5562,Q
5564,5572,R
5573,5575,S
5889,5892,Q
5895,5901,R
5903,5905,S
6209,6217,Q
6219,6226,R
6228,6229,S
6516,6522,Q
6524,6530,R
6532,6534,S
6819,6824,Q
6827,6832,R
6834,6836,S
7132,7137,Q
7139,7145,R
7146,7149,S
7451,7457,Q
7459,7466,R
7467,7469,S
7774,7780,Q
7782,7788,R
7790,7792,S
8093,8099,Q
8102,8108,R
8111,8115,S
8404,8408,Q
8411,8417,R
8709,8715,Q
8718,8724,R
8725,8728,S
9011,9020,Q
9022,9028,R
9308,9315,Q
9317,9323,R
9325,9327,S
9615,9622,Q
9626,9631,R
9632,9635,S
9940,9946,Q
9949,9956,R
10278,10284,R
10577,10585,Q
10587,10592,R
10880,10886,Q
10888,10896,R
11169,11178,Q
11181,11188,R
11457,11464,Q
11467,11473,R
11474,11476,S
11748,11753,Q
11757,11762,R
11767,11770,S
12035,12043,Q
12046,12053,R
12054,12056,S
12335,12341,R
12618,12624,R
12908,12914,R
13170,13177,Q
13180,13187,R
13190,13194,S
