start_index,end_index,type
248,260,Q
262,271,R
272,281,S
561,568,Q
572,578,R
581,589,S
858,868,Q
873,880,R
881,891,S
1168,1174,Q
1176,1186,R
1184,1192,S
7767,7772,Q
7778,7786,R
7788,7793,S
8084,8088,Q
8095,8100,R
8105,8109,S
8402,8410,Q
8416,8419,R
8424,8431,S
15067,15073,Q
15079,15085,R
15089,15093,S
15369,15374,Q
15381,15386,R
15389,15395,S
25452,25456,Q
25463,25467,R
25471,25476,S
25759,25766,Q
25770,25777,R
25780,25786,S
34615,34620,Q
34628,34632,R
34636,34642,S
34923,34931,Q
34935,34942,R
34944,34952,S
35226,35230,Q
35237,35240,R
35245,35250,S
43507,43513,Q
43520,43525,R
43528,43534,S
43814,43820,Q
43825,43831,R
43833,43839,S
53032,53037,Q
53043,53047,R
53050,53055,S
53321,53328,Q
53334,53338,R
53342,53348,S
53626,53633,Q
53638,53645,R
53648,53654,S
62458,62464,Q
62470,62477,R
62479,62486,S
62777,62787,Q
62791,62795,R
62796,62803,S
72893,72897,Q
72905,72911,R
72912,72917,S
73214,73219,Q
73226,73231,R
73235,73242,S
83473,83476,Q
83481,83488,R
83490,83495,S
83776,83779,Q
83787,83790,R
83794,83799,S
94562,94568,Q
94572,94579,R
94581,94587,S
94859,94866,Q
94871,94877,R
94882,94889,S
104153,104156,Q
104164,104168,R
104173,104176,S
104461,104468,Q
104473,104479,R
104483,104486,S
114188,114194,Q
114201,114205,R
114209,114215,S
114514,114518,Q
114525,114530,R
114533,114538,S
123474,123482,Q
123487,123494,R
123496,123501,S
123763,123767,Q
123774,123777,R
123782,123786,S
133204,133208,Q
133216,133220,R
133223,133228,S
133503,133509,Q
133515,133523,R
133524,133528,S
144836,144842,Q
144849,144854,R
144856,144862,S
145144,145150,Q
145156,145160,R
145164,145168,S
145438,145445,Q
145450,145455,R
145457,145463,S
154791,154797,Q
154804,154808,R
154813,154817,S
155109,155115,Q
155124,155128,R
155131,155136,S
166647,166654,Q
166660,166665,R
166669,166673,S
166950,166956,Q
166964,166967,R
166971,166976,S
176495,176498,Q
176507,176511,R
176514,176517,S
176805,176808,Q
176816,176823,R
176826,176831,S
190703,190709,Q
190715,190720,R
190724,190729,S
191012,191018,Q
191024,191029,R
191033,191036,S
203362,203369,Q
203374,203379,R
203383,203387,S
203671,203680,Q
203687,203692,R
203695,203701,S
213958,213966,Q
213970,213976,R
213981,213984,S
214259,214265,Q
214269,214274,R
214278,214281,S
225021,225029,Q
225034,225039,R
225044,225048,S
225334,225339,Q
225347,225351,R
225353,225359,S
235407,235414,Q
235420,235425,R
235429,235434,S
235722,235728,Q
235734,235739,R
235742,235748,S
243708,243714,Q
243723,243727,R
243730,243737,S
244023,244032,Q
244039,244043,R
244046,244053,S
257101,257108,Q
257113,257120,R
257122,257129,S
257427,257433,Q
257438,257442,R
257447,257452,S
271897,271903,Q
271911,271915,R
271918,271923,S
272211,272219,Q
272224,272228,R
272232,272236,S
281278,281284,Q
281291,281294,R
281300,281303,S
281594,281598,Q
281613,281617,S
281606,281609,R
294355,294362,Q
294366,294372,R
294374,294381,S
294654,294659,Q
294665,294669,R
294672,294678,S
303421,303424,Q
303432,303436,R
303440,303445,S
303726,303733,Q
303737,303743,R
303747,303752,S
312646,312652,Q
312657,312662,R
312668,312673,S
312972,312980,Q
312985,312989,R
312992,312998,S
322109,322114,R
322098,322102,Q
322118,322123,S
333946,333952,Q
333959,333964,R
333967,333971,S
334263,334271,Q
334277,334282,R
334285,334291,S
347076,347085,Q
347092,347096,R
347099,347106,S
347403,347410,Q
347416,347420,R
347423,347430,S
363320,363326,Q
363338,363348,S
363331,363335,R
372462,372466,Q
372473,372477,R
372482,372485,S
372760,372766,Q
372773,372777,R
372781,372785,S
386277,386280,Q
386289,386296,R
386298,386302,S
394078,394081,R
394326,394328,R
404779,404784,Q
404790,404796,R
404798,404805,S
415671,415678,Q
415685,415689,R
415695,415699,S
428967,428974,Q
428980,428985,R
428989,428995,S
440556,440563,Q
440569,440575,R
440580,440583,S
440878,440884,Q
440892,440896,R
440900,440905,S
449954,449961,Q
449964,449974,R
449976,449982,S
461724,461728,Q
461736,461741,R
461744,461749,S
472777,472782,Q
472788,472794,R
472798,472803,S
482848,482854,Q
482859,482864,R
482868,482872,S
499630,499638,Q
499643,499648,R
499652,499658,S
513683,513686,Q
513694,513697,R
513702,513705,S
